competition,c_id,s_id,nom_ics,nom_nettoye,suggestion,club_id_suggere,action
"Nationale 1 M France","28229","s-3302","ATHLETIC CLUB BOULOGNE-BILLANCOURT","ATHLETIC CLUB BOULOGNE-BILLANCOURT","ATHLETIC CLUB LA CIOTAT","aa53f308-dc4c-499b-a23b-cada58847bd5","CONFIRMER_OU_CORRIGER"
"Nationale 1 M France","28229","s-3598","ROC AVEYRON HANDBALL","ROC AVEYRON HANDBALL","Aveyron (12)","2c5c3eb4-3ab8-46ed-ba12-cfdb0e31220b","CONFIRMER_OU_CORRIGER"
"Nationale 2 M France","28230","s-3107","US LAGNY MONTEVRAIN HANDBALL","UNION SPORTIVE LAGNY MONTEVRAIN HANDBALL","UNION SPORTIVE SAINT-HILAIRE HANDBALL","3a10c3a7-3dec-4dcf-afd6-066f247ea1b7","CONFIRMER_OU_CORRIGER"
"Nationale 2 M France","28230","s-3173","REVEIL DE NOGENT HANDBALL","REVEIL DE NOGENT HANDBALL","","","A_REMPLIR"
"Nationale 2 M France","28230","s-3182","MAISONS-ALFORT / SAINT-MAUR (N2)","MAISONS-ALFORT / SAINT-MAUR","ASA MAISONS ALFORT HB","0fa36b1c-9961-4dcf-9d67-cee93d25e3e7","CONFIRMER_OU_CORRIGER"
"Nationale 2 M France","28230","s-3320","LEVALLOIS SC","LEVALLOIS SPORTING CLUB","LEVALLOIS SPORTING CLUB HANDBALL","2511ea35-85cd-4a76-9685-b0c8e4a01e88","CONFIRMER_OU_CORRIGER"
"Nationale 2 M France","28230","s-3334","HANDBALL AGGLOMERATION ROISSY PAYS-DE-FRANCE 95","HANDBALL AGGLOMERATION ROISSY PAYS-DE-FRANCE","","","A_REMPLIR"
"Nationale 2 M France","28230","s-3351","ELITE AXONAISE HB (N2)","ELITE AXONAISE HANDBALL","","","A_REMPLIR"
"Nationale 2 M France","28230","s-3388","ABBEVILLE E A L","ABBEVILLE E A","","","A_REMPLIR"
"Nationale 2 M France","28230","s-3433","ENTENTE TERRITOIRE CHARENTE HANDBALL","ENTENTE TERRITOIRE CHARENTE HANDBALL","ENTENTE SPORTIVE DU PERRAY HANDBALL","cd98240b-9151-4390-b047-edfefd86a462","CONFIRMER_OU_CORRIGER"
"Nationale 3 M France","28559","s-3134","HANDBALL CLUB SERRIS VAL D'EUROPE","HANDBALL CLUB SERRIS VAL D'EUROPE","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
