competition,c_id,s_id,nom_ics,nom_nettoye,suggestion,club_id_suggere,action,club_id_final
F110 U15f Brassage Niv Haut Et Prepa Honneur,32438,s-1701,ALC LONGVIC,ALC LONGVIC,,,A_REMPLIR,Le club n'existe pas
M110 U15m Brassage Niv Haut Et Prepa Honneur,32452,s-1701,ALC LONGVIC,ALC LONGVIC,,,A_REMPLIR,Le club n'existe pas
Nationale 1 Feminine 2026 2027,32608,s-1701,ALC LONGVIC,ALC LONGVIC,,,A_REMPLIR,Le club n'existe pas
Nationale 2 Masculine 2026 2027,32501,s-3388,ALC LONGVIC,ALC LONGVIC,,,A_REMPLIR,Le club n'existe pas
Nationale 2 Masculine 2026 2027,32501,s-1701,ALC LONGVIC,ALC LONGVIC,,,A_REMPLIR,Le club n'existe pas
F110 U15f Brassage Niv Haut Et Prepa Honneur,32438,s-2391,AS LEVIER HB,ASSOCIATION SPORTIVE LEVIER HANDBALL,ASSOCIATION SPORTIVE AVORD HANDBALL,ac6bd782-e539-4646-b0e6-7ff1a54b79ef,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Nationale 2 Masculine 2026 2027,32501,s-2827,AS ST-MANDE,ASSOCIATION SPORTIVE ST-MANDE,ASSOCIATION SPORTIVE AVORD HANDBALL,ac6bd782-e539-4646-b0e6-7ff1a54b79ef,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Nationale 2 Masculine 2026 2027,32501,s-3171,AS ST-MANDE,ASSOCIATION SPORTIVE ST-MANDE,ASSOCIATION SPORTIVE AVORD HANDBALL,ac6bd782-e539-4646-b0e6-7ff1a54b79ef,CONFIRMER_OU_CORRIGER,Le club n'existe pas
16 Ans Masculins Departemental 1,32390,s-3181,ASA MAISONS ALFORT HB 2,ASA MAISONS ALFORT HANDBALL,ASA MAISONS ALFORT HB,0fa36b1c-9961-4dcf-9d67-cee93d25e3e7,CONFIRMER_OU_CORRIGER,0fa36b1c-9961-4dcf-9d67-cee93d25e3e7
16 Ans Masculins Departemental 1,32390,s-3175,ASA MAISONS ALFORT HB 2,ASA MAISONS ALFORT HANDBALL,ASA MAISONS ALFORT HB,0fa36b1c-9961-4dcf-9d67-cee93d25e3e7,CONFIRMER_OU_CORRIGER,0fa36b1c-9961-4dcf-9d67-cee93d25e3e7
16 Ans Masculins Departemental 1,32390,s-3179,ASA MAISONS ALFORT HB 2,ASA MAISONS ALFORT HANDBALL,ASA MAISONS ALFORT HB,0fa36b1c-9961-4dcf-9d67-cee93d25e3e7,CONFIRMER_OU_CORRIGER,0fa36b1c-9961-4dcf-9d67-cee93d25e3e7
M002 Excellence Masculine,32523,s-1737,ASHBC DE CHALON (B),ASHBC DE CHALON,,,A_REMPLIR,Le club n'existe pas
M002 Excellence Masculine,32523,s-1741,ASHBC DE CHALON (B),ASHBC DE CHALON,,,A_REMPLIR,Le club n'existe pas
Pre Nationale Feminin,32517,s-2127,ASSM SECTION HANDBALL,ASSM SECTION HANDBALL,,,A_REMPLIR,Le club n'existe pas
Prenationale Masculin 26 27,32347,s-1967,AST CHATEAUNEUF 1,AST CHATEAUNEUF,AST CHATEAUNEUF EN THYMERAIS,07c7912b-4370-4210-bfbf-5cfffed38188,CONFIRMER_OU_CORRIGER,07c7912b-4370-4210-bfbf-5cfffed38188
Prenational Feminin 26 27,32353,s-1967,AST CHATEAUNEUF 2,AST CHATEAUNEUF,AST CHATEAUNEUF EN THYMERAIS,07c7912b-4370-4210-bfbf-5cfffed38188,CONFIRMER_OU_CORRIGER,07c7912b-4370-4210-bfbf-5cfffed38188
Prenational Feminin 26 27,32353,s-2000,AST CHATEAUNEUF 2,AST CHATEAUNEUF,AST CHATEAUNEUF EN THYMERAIS,07c7912b-4370-4210-bfbf-5cfffed38188,CONFIRMER_OU_CORRIGER,07c7912b-4370-4210-bfbf-5cfffed38188
Prenational Feminin 26 27,32353,s-2002,BLERE VAL DE CHER 2,BLERE VAL DE CHER,BLERE VAL DE CHER HANDBALL,bccaf03c-eed5-449f-a03c-c31297190cec,CONFIRMER_OU_CORRIGER,bccaf03c-eed5-449f-a03c-c31297190cec
U15f Delayages Accession Regionale,32244,s-3311,BOIS-COLOMBES SP.,BOIS-COLOMBES SP.,BOIS-COLOMBES SPORTS HANDBALL,f854b6a6-d12a-4e57-bdba-29c429a0c849,CONFIRMER_OU_CORRIGER,f854b6a6-d12a-4e57-bdba-29c429a0c849
U15f Delayages Accession Regionale,32244,s-3318,BOIS-COLOMBES SP.,BOIS-COLOMBES SP.,BOIS-COLOMBES SPORTS HANDBALL,f854b6a6-d12a-4e57-bdba-29c429a0c849,CONFIRMER_OU_CORRIGER,f854b6a6-d12a-4e57-bdba-29c429a0c849
